Brand,Manufacture_Year,Body_Type,Fuel_Type,Transmission,Engine_CC,Horsepower,Mileage_km_per_l,Price_USD,Manufacturing_Country
Ford,2013,Pickup,Petrol,Manual,3805,432,14,114221,UK
Toyota,2018,Pickup,Hybrid,Automatic,1020,536,22,50814,Germany
Tesla,2025,SUV,Diesel,Automatic,3664,568,16,12319,UK
Honda,2014,Sedan,Diesel,Automatic,1930,78,13,84035,China
Hyundai,2015,Sedan,Electric,Automatic,3291,204,16,87233,South Korea
BMW,2007,SUV,Diesel,Manual,4555,352,18,70411,UK
Audi,2020,SUV,Electric,Manual,1026,331,20,18792,Germany
Honda,2022,SUV,Electric,Manual,3967,137,30,22091,USA
Kia,2016,Pickup,Petrol,Manual,4611,149,13,5221,China
Hyundai,2009,SUV,Diesel,Manual,3564,100,29,5989,China
Ford,2023,Sedan,Hybrid,Manual,1883,231,18,12591,China
Kia,2012,SUV,Hybrid,Automatic,3587,165,29,10728,Germany
Hyundai,2014,Pickup,Petrol,Automatic,2312,485,17,61508,Japan
Nissan,2020,SUV,Electric,Automatic,4994,301,12,7283,USA
Ford,2022,Sedan,Diesel,Manual,3654,287,23,74935,USA
Hyundai,2023,Sedan,Electric,Manual,4965,156,17,83841,USA
Ford,2010,Pickup,Electric,Automatic,4964,499,10,51708,USA
Honda,2008,Coupe,Electric,Manual,3897,322,25,79534,Germany
Audi,2014,Coupe,Petrol,Automatic,2677,560,11,25809,USA
Hyundai,2023,Hatchback,Diesel,Manual,3592,252,22,22245,Germany
Ford,2010,Hatchback,Diesel,Manual,2951,323,13,52934,USA
Honda,2015,Coupe,Hybrid,Manual,4555,349,15,38522,Germany
BMW,2005,SUV,Petrol,Manual,1151,394,17,12406,Germany
Tesla,2009,Sedan,Hybrid,Manual,2717,460,12,95899,Japan
Nissan,2017,Pickup,Petrol,Manual,4040,120,27,87674,UK
Hyundai,2007,Sedan,Electric,Manual,2635,183,24,9197,Germany
Nissan,2020,Pickup,Hybrid,Manual,1947,235,12,117199,UK
Toyota,2025,Coupe,Diesel,Manual,1332,423,27,18962,China
Tesla,2021,Coupe,Hybrid,Manual,4823,182,17,23687,China
BMW,2010,Hatchback,Petrol,Automatic,2066,338,23,13047,Germany
Honda,2014,Pickup,Diesel,Manual,4702,110,11,18918,South Korea
Nissan,2014,Pickup,Hybrid,Manual,2200,73,29,27328,USA
Tesla,2013,Coupe,Hybrid,Manual,1255,274,25,64566,Japan
BMW,2008,Sedan,Electric,Manual,2280,480,25,47553,Germany
Mercedes,2010,Pickup,Hybrid,Manual,2020,491,30,112236,UK
Ford,2015,Sedan,Diesel,Manual,2020,463,16,104688,Japan
Toyota,2007,Hatchback,Hybrid,Manual,4382,552,23,42173,China
Mercedes,2024,Sedan,Petrol,Manual,2882,81,17,53599,China
BMW,2013,Sedan,Hybrid,Manual,1571,154,14,34874,Japan
Hyundai,2019,SUV,Diesel,Manual,3827,121,23,54163,South Korea
Tesla,2018,Hatchback,Hybrid,Manual,1500,70,24,77525,South Korea
Ford,2008,SUV,Electric,Manual,2997,151,17,23612,South Korea
Kia,2020,Sedan,Diesel,Automatic,2694,571,21,25946,Germany
Nissan,2020,Hatchback,Electric,Automatic,2748,295,28,49232,USA
Kia,2025,Sedan,Diesel,Manual,4033,295,10,9581,South Korea
Audi,2017,Pickup,Petrol,Manual,2416,469,30,106072,China
BMW,2015,Coupe,Hybrid,Manual,3918,158,17,10700,China
Audi,2025,Pickup,Petrol,Automatic,4459,403,16,115025,UK
Ford,2007,SUV,Electric,Manual,3603,384,23,110016,UK
Kia,2016,Hatchback,Electric,Automatic,1955,407,24,68618,Japan
Toyota,2009,Hatchback,Hybrid,Manual,3955,165,12,98630,UK
Nissan,2007,Hatchback,Electric,Automatic,2086,568,29,10458,USA
Audi,2019,Coupe,Electric,Manual,4372,173,28,102101,USA
Tesla,2005,Coupe,Hybrid,Manual,1509,365,17,46319,China
Honda,2020,SUV,Petrol,Automatic,3230,583,25,19130,South Korea
Nissan,2016,Pickup,Electric,Automatic,4626,392,26,25345,South Korea
BMW,2018,SUV,Petrol,Automatic,3610,212,23,19354,Japan
Ford,2007,Sedan,Electric,Manual,3469,155,22,57492,Japan
Tesla,2006,Coupe,Hybrid,Automatic,2799,503,11,15201,Japan
Nissan,2006,SUV,Hybrid,Manual,3118,363,28,105856,USA
Honda,2012,SUV,Diesel,Automatic,1047,503,25,101142,China
Nissan,2009,Sedan,Electric,Manual,3424,254,21,40509,USA
Nissan,2023,Sedan,Petrol,Manual,2833,88,23,23796,China
Toyota,2013,SUV,Hybrid,Manual,4698,472,13,117883,Germany
Nissan,2019,Hatchback,Electric,Manual,3117,246,23,20621,Germany
Tesla,2021,Hatchback,Hybrid,Manual,1830,575,23,70833,USA
Nissan,2016,SUV,Petrol,Automatic,4277,273,20,117882,UK
Mercedes,2008,Hatchback,Diesel,Manual,4948,115,19,28805,Germany
BMW,2020,Pickup,Electric,Automatic,3642,271,22,78741,Japan
BMW,2014,Hatchback,Petrol,Manual,2029,314,13,65230,UK
Honda,2023,Sedan,Petrol,Automatic,2638,87,18,86302,USA
Hyundai,2007,Coupe,Petrol,Manual,1826,505,14,78797,Germany
Ford,2010,SUV,Petrol,Manual,3584,597,18,36600,Germany
Toyota,2009,Coupe,Diesel,Automatic,4061,164,10,100637,USA
Toyota,2010,SUV,Diesel,Manual,4111,362,19,103966,USA
Mercedes,2009,SUV,Hybrid,Manual,2574,172,24,59467,UK
Toyota,2020,Pickup,Hybrid,Manual,3855,421,15,46924,China
Audi,2010,Hatchback,Hybrid,Manual,4423,210,20,7546,USA
Nissan,2016,SUV,Petrol,Manual,2687,237,14,106912,USA
Honda,2017,Sedan,Hybrid,Automatic,2992,129,24,49411,Germany
Tesla,2018,SUV,Electric,Automatic,2606,379,30,37163,Germany
Kia,2017,Hatchback,Petrol,Manual,1235,375,14,35555,Germany
Audi,2012,Pickup,Electric,Manual,4946,553,28,96826,Japan
Nissan,2015,Sedan,Electric,Manual,1373,595,15,114015,South Korea
Audi,2017,Sedan,Electric,Manual,2690,83,30,20494,USA
Toyota,2009,Sedan,Electric,Manual,4662,116,30,114361,South Korea
Mercedes,2023,SUV,Petrol,Automatic,1711,341,22,100281,Japan
Honda,2017,Coupe,Electric,Manual,1800,204,14,13058,China
Audi,2019,Hatchback,Hybrid,Manual,3897,248,14,20921,China
Kia,2023,Coupe,Petrol,Automatic,3976,91,21,54604,Germany
Ford,2025,Hatchback,Petrol,Automatic,4391,318,21,59275,Germany
Mercedes,2010,SUV,Diesel,Automatic,2337,346,23,90704,China
Hyundai,2006,Pickup,Electric,Automatic,3778,215,18,56406,Japan
Tesla,2008,Coupe,Petrol,Automatic,3510,287,20,84228,South Korea
Mercedes,2010,Pickup,Hybrid,Automatic,4349,417,24,103618,Germany
Ford,2009,SUV,Electric,Automatic,3025,402,16,6365,China
BMW,2005,Coupe,Hybrid,Automatic,2240,331,13,89524,China
Mercedes,2019,Coupe,Petrol,Manual,1477,234,17,89925,USA
Hyundai,2013,Hatchback,Hybrid,Manual,4305,103,24,105320,UK
BMW,2015,Coupe,Hybrid,Manual,1416,157,16,79234,Germany
Honda,2023,SUV,Hybrid,Manual,3140,298,11,54789,Germany
Kia,2021,Hatchback,Petrol,Manual,3854,575,12,84238,China
Kia,2013,SUV,Diesel,Automatic,2286,215,11,89771,China
Toyota,2018,Pickup,Hybrid,Automatic,4080,437,12,78241,Germany
Tesla,2019,SUV,Diesel,Automatic,3148,437,10,52431,USA
Tesla,2022,SUV,Electric,Automatic,2075,569,11,100280,Japan
Honda,2021,Sedan,Petrol,Manual,4740,318,24,109215,China
Audi,2015,Pickup,Petrol,Automatic,1561,372,12,49872,UK
Hyundai,2015,Sedan,Petrol,Manual,4527,289,12,108098,USA
Nissan,2016,SUV,Petrol,Automatic,3206,227,22,11057,China
Ford,2005,Pickup,Petrol,Manual,2484,91,19,67062,USA
BMW,2007,SUV,Hybrid,Manual,1472,324,15,37991,South Korea
Ford,2012,Sedan,Hybrid,Automatic,2071,419,14,85567,UK
Nissan,2023,Hatchback,Electric,Manual,2602,443,15,22274,South Korea
Ford,2007,Hatchback,Hybrid,Automatic,1956,502,29,41421,Germany
Nissan,2020,SUV,Diesel,Automatic,4798,464,20,36019,Japan
Audi,2017,SUV,Petrol,Automatic,2766,106,14,33420,USA
Kia,2016,Sedan,Hybrid,Manual,3734,321,25,103573,USA
Toyota,2010,Pickup,Diesel,Automatic,2596,595,22,74817,South Korea
Hyundai,2007,Pickup,Hybrid,Automatic,3823,503,29,37993,South Korea
Toyota,2017,Pickup,Petrol,Automatic,2224,168,15,55827,South Korea
Toyota,2018,Sedan,Electric,Automatic,3423,329,15,22572,Japan
Toyota,2020,Sedan,Petrol,Automatic,3055,485,24,100546,UK
Mercedes,2009,SUV,Electric,Automatic,4205,340,20,20252,Japan
Audi,2025,Coupe,Electric,Automatic,3297,212,24,14652,Japan
Toyota,2008,Pickup,Diesel,Manual,1176,389,18,64106,Germany
BMW,2011,Coupe,Petrol,Manual,3479,403,13,105091,South Korea
Hyundai,2025,SUV,Electric,Automatic,1253,350,14,26153,UK
Toyota,2021,Pickup,Electric,Manual,1541,478,28,59533,China
Mercedes,2006,Coupe,Hybrid,Manual,4906,529,24,105260,China
Tesla,2012,Sedan,Petrol,Manual,3963,495,30,79161,USA
Tesla,2013,Coupe,Diesel,Manual,2943,398,25,37900,South Korea
Mercedes,2005,Sedan,Hybrid,Manual,2583,434,23,100900,Germany
Toyota,2012,Coupe,Hybrid,Manual,3976,213,23,30465,Japan
Ford,2006,Hatchback,Diesel,Automatic,1287,379,22,21753,Germany
Nissan,2016,Pickup,Diesel,Manual,2420,346,29,8766,South Korea
Kia,2015,Sedan,Electric,Manual,2149,167,21,9260,Germany
Tesla,2008,Hatchback,Petrol,Automatic,1008,466,11,64752,Japan
BMW,2015,Hatchback,Hybrid,Automatic,3003,150,21,109464,South Korea
Kia,2021,Sedan,Hybrid,Manual,1640,137,30,88901,China
Toyota,2025,Sedan,Hybrid,Automatic,3207,546,12,116860,China
Ford,2023,Hatchback,Petrol,Manual,2389,241,24,14195,UK
Hyundai,2022,Coupe,Electric,Manual,1389,236,20,61460,Japan
Tesla,2023,Coupe,Diesel,Automatic,2731,347,24,95455,USA
Nissan,2023,SUV,Diesel,Automatic,4096,592,20,104211,Japan
Hyundai,2005,SUV,Electric,Automatic,2272,365,22,69086,Germany
BMW,2012,Sedan,Electric,Automatic,4093,73,26,8932,South Korea
Hyundai,2009,Pickup,Hybrid,Manual,1655,172,10,81677,USA
Ford,2019,Sedan,Hybrid,Manual,2458,127,21,51434,Japan
Mercedes,2016,SUV,Electric,Automatic,4507,241,13,108152,UK
Nissan,2014,SUV,Petrol,Manual,1801,120,30,29828,China
Mercedes,2022,Sedan,Electric,Automatic,1805,558,16,22944,USA
Toyota,2022,Sedan,Electric,Automatic,3251,166,20,38889,UK
Toyota,2025,Pickup,Hybrid,Automatic,3245,186,21,62946,China
Nissan,2019,Sedan,Electric,Automatic,2004,245,16,108928,USA
Nissan,2006,Hatchback,Diesel,Automatic,1458,406,24,88298,USA
Mercedes,2016,Sedan,Electric,Automatic,4978,518,18,92232,South Korea
Nissan,2020,Coupe,Electric,Manual,1422,349,14,45225,Japan
Nissan,2012,Coupe,Hybrid,Automatic,3665,469,13,50902,South Korea
Toyota,2008,Sedan,Diesel,Automatic,3309,179,14,5818,UK
Mercedes,2007,SUV,Diesel,Manual,3395,483,23,63238,USA
Toyota,2013,SUV,Diesel,Automatic,4328,571,30,40284,China
BMW,2007,SUV,Hybrid,Automatic,3642,393,19,37370,UK
Kia,2015,Coupe,Electric,Manual,4092,531,17,49552,UK
Tesla,2024,Pickup,Electric,Manual,1684,91,15,47850,China
Tesla,2024,Hatchback,Electric,Manual,2092,270,11,28272,UK
Nissan,2019,Sedan,Hybrid,Automatic,1933,219,15,5358,UK
Kia,2018,Hatchback,Petrol,Automatic,4024,586,28,19507,China
Kia,2006,Coupe,Electric,Manual,2002,510,16,71626,China
Nissan,2023,Coupe,Petrol,Automatic,4077,267,19,43715,UK
BMW,2007,Sedan,Petrol,Manual,2685,573,24,79024,China
Tesla,2011,Coupe,Petrol,Manual,3575,403,25,48374,China
Nissan,2011,Pickup,Petrol,Automatic,4938,538,19,47010,USA
Toyota,2020,Pickup,Electric,Manual,3259,401,28,54101,USA
Mercedes,2013,Sedan,Petrol,Automatic,3621,87,24,11756,UK
Ford,2024,Sedan,Diesel,Automatic,3864,599,21,59084,South Korea
Audi,2017,Hatchback,Hybrid,Automatic,4167,229,16,110237,Germany
Audi,2006,Sedan,Diesel,Manual,1257,508,14,74922,China
Hyundai,2020,Sedan,Hybrid,Automatic,3754,102,27,96959,UK
Toyota,2024,Coupe,Electric,Automatic,3466,407,13,82581,UK
Mercedes,2022,Hatchback,Petrol,Automatic,3953,314,30,22283,USA
BMW,2011,Hatchback,Hybrid,Manual,1307,277,19,87875,UK
Nissan,2025,Sedan,Hybrid,Automatic,4981,171,17,6286,Japan
Tesla,2025,Sedan,Diesel,Manual,3289,497,11,75150,Germany
Hyundai,2015,Coupe,Diesel,Automatic,1972,457,25,110459,Japan
Kia,2010,Sedan,Electric,Manual,2782,216,28,114695,South Korea
Hyundai,2019,Pickup,Petrol,Automatic,3407,306,16,55367,USA
Ford,2020,Sedan,Hybrid,Manual,2423,205,24,38970,Japan
Toyota,2009,Sedan,Diesel,Manual,1600,306,14,58231,Germany
Toyota,2023,Hatchback,Hybrid,Manual,4687,452,29,99029,Germany
BMW,2006,Sedan,Diesel,Automatic,2419,91,12,83695,South Korea
Tesla,2015,Pickup,Hybrid,Manual,4826,324,10,67060,South Korea
Honda,2013,Hatchback,Diesel,Manual,1947,211,11,40790,UK
Ford,2007,Pickup,Petrol,Manual,2867,260,22,27993,UK
Mercedes,2018,Pickup,Diesel,Automatic,4097,574,11,11442,Germany
Kia,2020,Coupe,Petrol,Automatic,2470,598,15,94659,South Korea
Toyota,2025,Pickup,Hybrid,Automatic,3165,446,13,19551,USA
Tesla,2015,Pickup,Hybrid,Automatic,2755,262,26,46533,South Korea
Mercedes,2018,SUV,Diesel,Manual,3159,310,24,108404,China
Mercedes,2020,Pickup,Electric,Manual,2980,151,28,107351,Japan
Hyundai,2011,Hatchback,Diesel,Automatic,2631,72,10,105542,South Korea
Honda,2010,SUV,Diesel,Manual,1654,328,24,70352,UK
Hyundai,2005,Coupe,Petrol,Manual,2404,315,17,5407,Japan
Hyundai,2007,Sedan,Petrol,Automatic,4942,115,17,71208,UK
Ford,2020,Sedan,Petrol,Automatic,3283,414,18,103021,Germany
Nissan,2020,Hatchback,Diesel,Manual,3609,109,17,111581,South Korea
Honda,2021,Pickup,Petrol,Manual,3731,547,27,11380,China
Nissan,2006,Sedan,Diesel,Automatic,2844,245,24,44882,Japan
Toyota,2014,Hatchback,Petrol,Automatic,1139,546,21,20435,China
Hyundai,2017,SUV,Diesel,Automatic,2820,531,30,61551,UK
Mercedes,2009,SUV,Diesel,Automatic,4066,166,21,36575,USA
Audi,2023,Hatchback,Diesel,Manual,1641,361,13,86947,Germany
Kia,2016,Coupe,Petrol,Manual,1955,75,10,85685,South Korea
Kia,2013,Coupe,Electric,Manual,3311,291,12,63413,UK
Hyundai,2021,Hatchback,Petrol,Automatic,1337,376,29,87124,Germany
BMW,2022,Sedan,Diesel,Manual,4627,520,16,68006,UK
Audi,2015,Pickup,Hybrid,Automatic,3572,137,30,74301,Germany
Ford,2023,Hatchback,Petrol,Manual,4348,342,21,97523,USA
Mercedes,2020,SUV,Electric,Automatic,3538,151,10,66351,Japan
Ford,2023,Coupe,Diesel,Manual,3954,442,10,85653,Germany
Kia,2023,SUV,Hybrid,Manual,2645,536,15,118185,Germany
