position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee
Left Winger,28,25,Spain,LaLiga,Sevilla FC,Netherlands,Eredivisie,Ajax Amsterdam,4
Left Winger,31,25,Italy,Serie A,SSC Napoli,Canada,MLS,Toronto FC,free transfer
Defensive Midfield,22,25,France,Ligue 1,Olympique Marseille,England,Premier League,Aston Villa,free transfer
Centre-Back,29,25,England,Premier League,Wolverhampton Wanderers,England,Premier League,Everton FC,loan transfer
Right Winger,27,25,England,Premier League,Arsenal FC,France,Ligue 1,OGC Nice,loan transfer
Right Winger,21,25,England,Premier League,Chelsea FC,Germany,Bundesliga,Bayer 04 Leverkusen,loan transfer
Left-Back,25,25,England,Premier League,Tottenham Hotspur,Spain,LaLiga,Atlético de Madrid,loan transfer
Centre-Back,21,10,England,Championship,Burnley FC,England,Premier League,Wolverhampton Wanderers,24
Left Winger,22,18,England,Championship,Burnley FC,England,Premier League,Everton FC,24
Left Midfield,29,24,Germany,Bundesliga,Eintracht Frankfurt,Italy,Serie A,Juventus FC,12
Second Striker,27,23,Italy,Serie A,SS Lazio,Italy,Serie A,Inter Milan,23
Centre-Back,22,10,Scotland,Premiership,Rangers FC,Netherlands,Eredivisie,Ajax Amsterdam,23
Left Winger,25,19,Italy,Serie A,US Sassuolo,Italy,Serie A,Atalanta BC,22
Left Winger,22,20,Monaco,Ligue 1,AS Monaco,France,Ligue 1,OGC Nice,22
Centre-Back,25,22,France,Ligue 1,Paris Saint-Germain,England,Premier League,West Ham United,12
Right Winger,24,22,Italy,Serie A,AS Roma,France,Ligue 1,Olympique Marseille,8
Centre-Back,29,22,England,Championship,Burnley FC,England,Premier League,Everton FC,free transfer
Central Midfield,26,22,England,Premier League,Tottenham Hotspur,Spain,LaLiga,Villarreal CF,loan transfer
Defensive Midfield,26,22,Portugal,Liga Portugal,SL Benfica,Germany,Bundesliga,Borussia Mönchengladbach,loan transfer
Centre-Back,26,22,England,Premier League,Southampton FC,England,Premier League,Aston Villa,loan transfer
Central Midfield,22,13,Italy,Serie A,US Salernitana 1919,Italy,Serie A,Atalanta BC,21
Left Winger,25,15,England,Championship,Burnley FC,England,Premier League,West Ham United,20
Centre-Forward,24,20,Germany,Bundesliga,1.FC Union Berlin,England,Premier League,Nottingham Forest,20
Left Winger,30,20,Spain,LaLiga,FC Barcelona,England,Premier League,Aston Villa,20
Centre-Back,22,15,Portugal,Liga Portugal,SC Braga,Portugal,Liga Portugal,FC Porto,20
Right-Back,21,8,England,Premier League,Liverpool FC,England,Premier League,Nottingham Forest,20
Centre-Forward,17,2,France,Ligue 1,Stade Rennais FC,Germany,Bundesliga,Bayern Munich,20
Right-Back,24,20,Italy,Serie A,Udinese Calcio,Spain,LaLiga,Atlético de Madrid,20
Centre-Forward,20,18,France,Ligue 1,Paris Saint-Germain,France,Ligue 1,Stade Rennais FC,20
Centre-Forward,25,18,Spain,LaLiga,UD Almería,Spain,LaLiga,Real Sociedad,20
Left-Back,24,20,Spain,LaLiga,Villarreal CF,England,Premier League,Brighton & Hove Albion,17
Right Winger,25,20,Ukraine,Premier Liga,Shakhtar Donetsk,Portugal,Liga Portugal,SL Benfica,15
Right-Back,23,20,Ukraine,Premier Liga,Shakhtar Donetsk,Italy,Serie A,ACF Fiorentina,14
Left Winger,19,20,Czech Republic,Fortuna Liga,AC Sparta Prague,Germany,Bundesliga,Bayer 04 Leverkusen,13
Right-Back,24,20,Germany,Bundesliga,RB Leipzig,France,Ligue 1,Paris Saint-Germain,12
Central Midfield,30,20,Italy,Serie A,Atalanta BC,England,Premier League,Nottingham Forest,9
Defensive Midfield,26,20,England,Premier League,Arsenal FC,Turkey,Süper Lig,Galatasaray A.S.,6
Right Winger,22,20,Spain,LaLiga,FC Barcelona,Portugal,Liga Portugal,Sporting CP,3
Attacking Midfield,27,20,Italy,Serie A,Hellas Verona,Italy,Serie A,ACF Fiorentina,1
Right-Back,24,20,Netherlands,Eredivisie,Ajax Amsterdam,Germany,Bundesliga,Bayern Munich,free transfer
Attacking Midfield,30,20,England,Premier League,Brentford FC,England,Premier League,Manchester United,free transfer
Centre-Forward,23,20,Italy,Serie A,Inter Milan,Italy,Serie A,US Sassuolo,loan transfer
Central Midfield,20,20,Spain,LaLiga,FC Barcelona,Spain,LaLiga,Valencia CF,loan transfer
Centre-Forward,28,20,Italy,Serie A,Torino FC,Italy,Serie A,AS Roma,free transfer
Right-Back,27,20,England,Premier League,Arsenal FC,Spain,LaLiga,FC Barcelona,free transfer
Left Winger,21,12,England,Championship,Hull City,England,Premier League,Brentford FC,19
Centre-Back,22,15,Italy,Serie A,Bologna FC 1909,France,Ligue 1,Stade Rennais FC,19
Left-Back,28,4,England,Championship,Watford FC,Italy,Serie A,Udinese Calcio,19
Centre-Back,25,14,Turkey,Süper Lig,Fenerbahce SK,Italy,Serie A,SSC Napoli,18
Central Midfield,18,6,England,Premier League,Aston Villa,England,Premier League,Chelsea FC,18
Left-Back,19,17,Italy,Serie A,Udinese Calcio,England,Premier League,Tottenham Hotspur,18
Left-Back,20,18,Italy,Serie A,Bologna FC 1909,England,Premier League,Brentford FC,16
Centre-Forward,28,18,France,Ligue 1,Stade Rennais FC,France,Ligue 1,OGC Nice,15
Right Winger,25,18,Spain,LaLiga,Celta de Vigo,Spain,LaLiga,Real Sociedad,14
Centre-Forward,26,18,England,Premier League,Brighton & Hove Albion,England,Premier League,Everton FC,11
Centre-Back,26,18,Germany,Bundesliga,1.FSV Mainz 05,England,Premier League,Nottingham Forest,10
Attacking Midfield,27,18,Italy,Serie A,Hellas Verona,Italy,Serie A,SS Lazio,7
Right-Back,25,18,France,Ligue 1,LOSC Lille,Italy,Serie A,AS Roma,7
Central Midfield,26,18,Italy,Serie A,Juventus FC,England,Premier League,Liverpool FC,4
Left Winger,28,18,France,Ligue 1,Paris Saint-Germain,Portugal,Liga Portugal,SL Benfica,2
Centre-Back,26,18,France,Ligue 1,Paris Saint-Germain,Germany,Bundesliga,RB Leipzig,1
Centre-Back,28,18,Germany,Bundesliga,Borussia Mönchengladbach,Germany,Bundesliga,SC Freiburg,free transfer
Attacking Midfield,29,18,England,Premier League,Manchester United,England,Premier League,Nottingham Forest,free transfer
Goalkeeper,25,18,England,Premier League,Manchester United,England,Premier League,Nottingham Forest,loan transfer
Left-Back,29,18,England,Premier League,Manchester United,Spain,LaLiga,Sevilla FC,loan transfer
Central Midfield,31,18,France,Ligue 1,Paris Saint-Germain,Italy,Serie A,AS Roma,loan transfer
Right-Back,21,18,Spain,LaLiga,FC Barcelona,Italy,Serie A,AC Milan,loan transfer
Central Midfield,29,18,England,Premier League,Everton FC,France,Ligue 1,LOSC Lille,loan transfer
Right Winger,24,18,England,Premier League,Leeds United,England,Premier League,Fulham FC,loan transfer
Centre-Back,25,10,England,Premier League,West Ham United,England,Premier League,Fulham FC,17
Left-Back,26,17,England,Premier League,Aston Villa,England,Premier League,Newcastle United,17
Defensive Midfield,23,17,Germany,Bundesliga,RB Leipzig,England,Premier League,Leeds United,17
Centre-Forward,19,4,Austria,Bundesliga,SK Sturm Graz,Italy,Serie A,Atalanta BC,17
Centre-Back,24,10,France,Ligue 1,Stade Reims,England,Premier League,Leicester City,17
Left-Back,22,17,Netherlands,Eredivisie,Feyenoord Rotterdam,England,Premier League,Manchester United,15
Centre-Back,25,17,Netherlands,Eredivisie,Feyenoord Rotterdam,England,Premier League,AFC Bournemouth,15
Central Midfield,29,17,Italy,Serie A,AS Roma,France,Ligue 1,Olympique Marseille,11
Centre-Forward,26,17,Italy,Serie B,Cagliari Calcio,Italy,Serie A,Hellas Verona,10
Left-Back,19,17,Italy,Serie A,Hellas Verona,Italy,Serie A,Udinese Calcio,4
Centre-Forward,27,17,Italy,Serie A,Hellas Verona,Italy,Serie A,SSC Napoli,3
Centre-Back,27,17,Italy,Serie A,AC Milan,Italy,Serie A,SS Lazio,free transfer
Centre-Back,27,17,Portugal,Liga Portugal,FC Porto,France,Ligue 1,Olympique Marseille,free transfer
Left-Back,19,17,England,Premier League,Tottenham Hotspur,Italy,Serie A,Udinese Calcio,loan transfer
Defensive Midfield,28,17,France,Ligue 1,Paris Saint-Germain,Italy,Serie A,Juventus FC,loan transfer
Centre-Forward,24,17,France,Ligue 1,OGC Nice,Spain,LaLiga,Sevilla FC,loan transfer
Attacking Midfield,25,17,France,Ligue 1,LOSC Lille,Turkey,Süper Lig,Trabzonspor,loan transfer
Centre-Forward,26,16,Germany,Bundesliga,RB Leipzig,England,Premier League,Wolverhampton Wanderers,16
Centre-Forward,20,9,Germany,Bundesliga,RB Leipzig,Netherlands,Eredivisie,Ajax Amsterdam,16
Centre-Back,20,9,Germany,Bundesliga,Bayern Munich,Spain,LaLiga,Sevilla FC,16
Centre-Forward,26,15,Portugal,Liga Portugal,SL Benfica,Belgium,Jupiler Pro League,Club Brugge KV,16
Centre-Back,25,16,France,Ligue 1,Olympique Marseille,England,Premier League,Southampton FC,10
Centre-Back,25,16,Germany,Bundesliga,1.FSV Mainz 05,Portugal,Liga Portugal,Sporting CP,9
Centre-Forward,28,16,Italy,Serie A,SSC Napoli,France,Ligue 1,Olympique Marseille,8
Centre-Forward,28,16,France,Ligue 1,Olympique Marseille,Italy,Serie A,Juventus FC,0.9
Centre-Forward,23,16,France,Ligue 1,FC Nantes,Germany,Bundesliga,Eintracht Frankfurt,free transfer
Centre-Back,25,16,Italy,Serie A,SS Lazio,Spain,LaLiga,Real Betis Balompié,free transfer
Attacking Midfield,25,16,Italy,Serie A,Atalanta BC,Italy,Serie A,AC Monza,loan transfer
Centre-Forward,24,16,Spain,LaLiga,Real Madrid,Italy,Serie A,ACF Fiorentina,free transfer
Right Winger,26,16,England,Premier League,Aston Villa,Turkey,Süper Lig,Istanbul Basaksehir FK,loan transfer
Attacking Midfield,26,16,England,Premier League,Everton FC,Turkey,Süper Lig,Besiktas JK,loan transfer
Defensive Midfield,22,15,France,Ligue 1,RC Lens,England,Premier League,Crystal Palace,22
Left Winger,27,12,England,Premier League,Liverpool FC,Monaco,Ligue 1,AS Monaco,15
Left Winger,22,15,Italy,Serie A,UC Sampdoria,England,Premier League,Brentford FC,15
Central Midfield,19,1,Italy,Primavera 1,Inter Milan Primavera,England,Premier League 2,Chelsea FC U21,15
Left Winger,26,15,Portugal,Liga Portugal,SL Benfica,Brazil,Série A,Clube de Regatas do Flamengo,13
Right-Back,24,15,Austria,Bundesliga,Red Bull Salzburg,England,Premier League,Leeds United,13
Central Midfield,24,15,Germany,Bundesliga,VfB Stuttgart,England,Premier League,Nottingham Forest,13
Centre-Forward,25,15,Germany,Bundesliga,Borussia Mönchengladbach,Monaco,Ligue 1,AS Monaco,12
Centre-Forward,33,15,Spain,LaLiga,FC Barcelona,England,Premier League,Chelsea FC,12
Goalkeeper,30,15,England,Championship,Burnley FC,England,Premier League,Newcastle United,11
Left-Back,24,15,Spain,LaLiga,Getafe CF,Italy,Serie A,SSC Napoli,11
Centre-Forward,18,15,France,Ligue 1,Angers SCO,Spain,LaLiga,Real Sociedad,11
Left Winger,21,15,Georgia,Crystalbet Erovnuli Liga,Dinamo Batumi,Italy,Serie A,SSC Napoli,10
Central Midfield,21,15,Argentina,Liga Profesional,CA River Plate,Portugal,Liga Portugal,SL Benfica,10
Central Midfield,23,15,Italy,Serie A,Bologna FC 1909,Germany,Bundesliga,VfL Wolfsburg,9
Right-Back,29,15,France,Ligue 1,RC Lens,France,Ligue 1,Olympique Marseille,7
Centre-Back,22,15,Belgium,Jupiler Pro League,KV Oostende,Italy,Serie A,Bologna FC 1909,6
Centre-Back,24,15,England,Premier League,Arsenal FC,Germany,Bundesliga,VfB Stuttgart,3
Centre-Forward,31,15,England,Premier League,Arsenal FC,France,Ligue 1,Olympique Lyon,free transfer
Central Midfield,27,15,Germany,Bundesliga,Bayern Munich,France,Ligue 1,Olympique Lyon,free transfer
Centre-Forward,20,15,England,Premier League,Wolverhampton Wanderers,Belgium,Jupiler Pro League,RSC Anderlecht,loan transfer
Left-Back,22,15,England,Premier League,Arsenal FC,France,Ligue 1,Olympique Marseille,loan transfer
Defensive Midfield,26,15,England,Premier League,Tottenham Hotspur,Italy,Serie A,UC Sampdoria,loan transfer
Right Winger,20,15,England,Premier League,Manchester United,England,Championship,Sunderland AFC,loan transfer
Left Winger,23,15,Italy,Serie A,AS Roma,Spain,LaLiga,Valencia CF,loan transfer
Centre-Forward,24,14,England,Championship,Watford FC,England,Premier League,Nottingham Forest,14
Right-Back,21,8,England,Championship,Middlesbrough FC,England,Premier League,Tottenham Hotspur,14
Left Winger,24,14,United States,MLS,Los Angeles FC,Turkey,Süper Lig,Fenerbahce SK,5
Left-Back,28,14,England,Premier League,Chelsea FC,England,Premier League,West Ham United,15
Goalkeeper,20,5,England,Premier League 2,Manchester City U21,England,Premier League,Southampton FC,14
Centre-Forward,24,12,France,Ligue 1,Clermont Foot 63,France,Ligue 1,LOSC Lille,14
Centre-Back,26,14,Turkey,Süper Lig,Galatasaray A.S.,Spain,LaLiga,Sevilla FC,12
Attacking Midfield,23,14,Russia,Premier Liga,Dynamo Moscow,Netherlands,Eredivisie,Feyenoord Rotterdam,2
Goalkeeper,29,14,France,Ligue 1,OGC Nice,Netherlands,Eredivisie,PSV Eindhoven,free transfer
Centre-Forward,29,14,England,Championship,Burnley FC,Turkey,Süper Lig,Besiktas JK,loan transfer
Central Midfield,24,14,England,Premier League,Manchester City,Spain,LaLiga,Girona FC,loan transfer
Right Winger,19,14,England,Premier League 2,Manchester City U21,Portugal,Liga Portugal,FC Paços de Ferreira,loan transfer
Defensive Midfield,18,10,France,Ligue 2,AS Saint-Étienne,Austria,Bundesliga,Red Bull Salzburg,13
Centre-Forward,19,3,France,Ligue 2,FC Girondins Bordeaux,England,Premier League,Southampton FC,13
Centre-Back,20,7,Italy,Serie A,FC Empoli,France,Ligue 1,OGC Nice,13
Left-Back,21,10,Belgium,Jupiler Pro League,RSC Anderlecht,England,Premier League,Manchester City,13
Defensive Midfield,26,12,Netherlands,Eredivisie,Feyenoord Rotterdam,Portugal,Liga Portugal,SL Benfica,13
Defensive Midfield,24,13,Germany,Bundesliga,1. FC Köln,Germany,Bundesliga,Borussia Dortmund,5
Right Winger,23,13,France,Ligue 1,OGC Nice,Belgium,Jupiler Pro League,Royal Antwerp FC,loan transfer
Centre-Back,21,13,England,Premier League,Chelsea FC,Italy,Serie A,Spezia Calcio,loan transfer
Defensive Midfield,18,2,England,Premier League 2,Manchester City U21,England,Premier League,Southampton FC,12
Goalkeeper,27,12,Italy,Serie A,AS Roma,France,Ligue 1,Olympique Marseille,12
Defensive Midfield,25,7,Germany,Bundesliga,Bayern Munich,England,Premier League,Leeds United,12
Centre-Forward,21,4,Uruguay,Primera División,CA Peñarol,Italy,Serie A,US Sassuolo,12
Centre-Back,22,7,Germany,Bundesliga,Bayern Munich,England,Premier League,Crystal Palace,12
Defensive Midfield,21,3,Russia,Premier Liga,Lokomotiv Moscow,France,Ligue 1,OGC Nice,12
Centre-Back,23,7,Belgium,Jupiler Pro League,Club Brugge KV,Germany,Bundesliga,TSG 1899 Hoffenheim,12
Right Winger,19,12,Brazil,Série A,Sociedade Esportiva Palmeiras,Portugal,Liga Portugal,FC Porto,10
Central Midfield,21,12,England,Premier League,Chelsea FC,England,Premier League,Brighton & Hove Albion,10
Goalkeeper,23,12,Spain,LaLiga2,Granada CF,Italy,Serie A,SS Lazio,10
Centre-Forward,30,12,Spain,LaLiga,Real Sociedad,Spain,LaLiga,Real Betis Balompié,10
Left-Back,22,12,Netherlands,Eredivisie,AZ Alkmaar,Netherlands,Eredivisie,Ajax Amsterdam,10
Central Midfield,26,12,England,Premier League,Liverpool FC,Portugal,Liga Portugal,FC Porto,9
Defensive Midfield,20,12,Italy,Serie A,FC Empoli,Italy,Serie A,Torino FC,8
Right Winger,21,12,Brazil,Série A,Fluminense Football Club,Spain,LaLiga,Real Betis Balompié,8
Attacking Midfield,25,12,France,Ligue 1,Angers SCO,Germany,Bundesliga,1.FSV Mainz 05,6
Attacking Midfield,19,12,England,Premier League,Fulham FC,England,Premier League,Liverpool FC,5
Second Striker,30,12,Italy,Serie B,Cagliari Calcio,Turkey,Süper Lig,Fenerbahce SK,4
Central Midfield,32,12,France,Ligue 1,Paris Saint-Germain,England,Premier League,Everton FC,4
Central Midfield,30,12,Portugal,Liga Portugal,FC Porto,Turkey,Süper Lig,Galatasaray A.S.,3
Centre-Forward,26,12,Spain,LaLiga,Valencia CF,Turkey,Süper Lig,Trabzonspor,3
Centre-Forward,27,12,Italy,Serie A,SSC Napoli,Italy,Serie A,AC Monza,2
Central Midfield,26,12,Italy,Serie B,Cagliari Calcio,Italy,Serie A,FC Empoli,1
Centre-Forward,25,12,Spain,LaLiga,Villarreal CF,Italy,Serie A,US Salernitana 1919,1
Centre-Forward,27,12,Germany,Bundesliga,Hertha BSC,Italy,Serie A,US Salernitana 1919,1
Goalkeeper,29,12,England,Championship,West Bromwich Albion,England,Premier League,Crystal Palace,free transfer
Goalkeeper,26,12,Netherlands,Eredivisie,Ajax Amsterdam,Italy,Serie A,Inter Milan,free transfer
Centre-Forward,27,12,England,Premier League,Liverpool FC,Italy,Serie A,AC Milan,free transfer
Centre-Back,27,12,Spain,LaLiga,FC Barcelona,England,Premier League,Tottenham Hotspur,loan transfer
Right Winger,34,12,France,Ligue 1,Paris Saint-Germain,Italy,Serie A,Juventus FC,free transfer
Centre-Forward,23,12,United States,MLS,New York City FC,Spain,LaLiga,Girona FC,loan transfer
Right Winger,27,12,Spain,LaLiga,Real Sociedad,Spain,LaLiga,Sevilla FC,free transfer
Centre-Back,22,12,France,Ligue 1,Stade Rennais FC,England,Premier League,Nottingham Forest,loan transfer
Left-Back,31,12,England,Premier League,Chelsea FC,Spain,LaLiga,FC Barcelona,free transfer
Central Midfield,23,4,England,Championship,Middlesbrough FC,England,Premier League,AFC Bournemouth,11
Second Striker,18,11,Paraguay,Primera División Clausura,Club Libertad Asunción,England,Premier League,Brighton & Hove Albion,11
Centre-Forward,22,6,Netherlands,Eredivisie,FC Groningen,Spain,LaLiga,Celta de Vigo,11
Centre-Forward,21,11,Germany,Bundesliga,Bayern Munich,Italy,Serie A,Bologna FC 1909,8
Central Midfield,24,11,Brazil,Série B,Grêmio Foot-Ball Porto Alegrense,Italy,Serie A,US Sassuolo,8
Left-Back,29,11,Netherlands,Eredivisie,Ajax Amsterdam,France,Ligue 1,Olympique Lyon,4
Central Midfield,25,11,Greece,Super League 1,Olympiacos Piraeus,Italy,Serie A,AS Roma,1
Central Midfield,23,2,Wales,Championship,Swansea City,England,Premier League,West Ham United,10
Central Midfield,23,6,Brazil,Série A,São Paulo Futebol Clube,England,Championship,Norwich City,10
Defensive Midfield,21,7,England,Premier League 2,Manchester United U21,England,Premier League,Everton FC,10
Left Winger,20,10,Poland,Ekstraklasa,Lech Poznan,Germany,Bundesliga,VfL Wolfsburg,10
Left-Back,23,5,England,Premier League,Wolverhampton Wanderers,Portugal,Liga Portugal,Sporting CP,10
Right Winger,22,8,Italy,Serie A,AC Milan,Germany,Bundesliga,Eintracht Frankfurt,10
Centre-Back,20,10,Germany,Bundesliga,VfL Bochum,England,Premier League,Southampton FC,10
Right-Back,22,4,France,Ligue 1,ESTAC Troyes,England,Premier League,Nottingham Forest,10
Attacking Midfield,23,5,Belgium,Jupiler Pro League,KRC Genk,Italy,Serie A,US Sassuolo,10
Centre-Forward,24,9,Spain,LaLiga2,Granada CF,France,Ligue 1,Olympique Marseille,10
Right Winger,29,7,Belgium,Jupiler Pro League,KRC Genk,France,Ligue 1,Stade Reims,10
Centre-Forward,25,9,Spain,LaLiga,Real Madrid,Spain,LaLiga,Getafe CF,10
Defensive Midfield,21,5,Denmark,Superligaen,FC Midtjylland,Belgium,Jupiler Pro League,Club Brugge KV,10
Right Winger,23,7,France,Ligue 1,FC Lorient,Italy,Serie A,US Sassuolo,10
Centre-Forward,20,6,France,Ligue 1,Stade Reims,Spain,LaLiga,UD Almería,10
Left Winger,24,10,Germany,Bundesliga,RB Leipzig,Italy,Serie A,Atalanta BC,9
Goalkeeper,25,10,Italy,Serie B,Cagliari Calcio,Italy,Serie A,FC Empoli,8
Defensive Midfield,25,10,Italy,Serie A,Juventus FC,Italy,Serie A,ACF Fiorentina,8
Central Midfield,25,10,Scotland,Premiership,Rangers FC,England,Premier League,Southampton FC,7
Centre-Forward,24,10,Portugal,Liga Portugal,Portimonense SC,Italy,Serie A,Udinese Calcio,7
Second Striker,28,10,Italy,Serie A,UC Sampdoria,Italy,Serie A,Hellas Verona,5
